date,monthly_close,fiscal_year,annual_revenue
2014-01-31,37.840000,,
2014-02-28,38.310001,,
2014-03-31,40.990002,,
2014-04-30,40.400002,,
2014-05-30,40.939999,,
2014-06-30,41.700001,2014,86833000000
2014-07-31,43.160000,,
2014-08-29,45.430000,,
2014-09-30,46.360001,,
2014-10-31,46.950001,,
2014-11-28,47.810001,,
2014-12-31,46.450001,,
2015-01-30,40.400002,,
2015-02-27,43.849998,,
2015-03-31,40.660000,,
2015-04-30,48.639999,,
2015-05-29,46.860001,,
2015-06-30,44.150002,2015,93580000000
2015-07-31,46.700001,,
2015-08-31,43.520000,,
2015-09-30,44.259998,,
2015-10-30,52.639999,,
2015-11-30,54.349998,,
2015-12-31,55.480000,,
2016-01-29,55.090000,,
2016-02-29,50.880001,,
2016-03-31,55.230000,,
2016-04-29,49.869999,,
2016-05-31,53.000000,,
2016-06-30,51.169998,2016,91154000000
2016-07-29,56.680000,,
2016-08-31,57.459999,,
2016-09-30,57.599998,,
2016-10-31,59.919998,,
2016-11-30,60.259998,,
2016-12-30,62.139999,,
2017-01-31,64.650002,,
2017-02-28,63.980000,,
2017-03-31,65.860001,,
2017-04-28,68.459999,,
2017-05-31,69.839996,,
2017-06-30,68.930000,2017,96571000000
2017-07-31,72.699997,,
2017-08-31,74.769997,,
2017-09-29,74.489998,,
2017-10-31,83.180000,,
2017-11-30,84.169998,,
2017-12-29,85.540001,,
2018-01-31,95.010002,,
2018-02-28,93.769997,,
2018-03-29,91.269997,,
2018-04-30,93.519997,,
2018-05-31,98.839996,,
2018-06-29,98.610001,,
2018-06-30,,2018,110360000000
2018-07-31,106.080002,,
2018-08-31,112.330002,,
2018-09-28,114.370003,,
2018-10-31,106.809998,,
2018-11-30,110.889999,,
2018-12-31,101.570000,,
2019-01-31,104.430000,,
2019-02-28,112.029999,,
2019-03-29,117.940002,,
2019-04-30,130.600006,,
2019-05-31,123.680000,,
2019-06-28,133.960007,,
2019-06-30,,2019,125843000000
2019-07-31,136.270004,,
2019-08-30,137.860001,,
2019-09-30,139.029999,,
2019-10-31,143.369995,,
2019-11-29,151.380005,,
2019-12-31,157.699997,,
2020-01-31,170.229996,,
2020-02-28,162.009995,,
2020-03-31,157.710007,,
2020-04-30,179.210007,,
2020-05-29,183.250000,,
2020-06-30,203.509995,2020,143015000000
2020-07-31,205.009995,,
2020-08-31,225.529999,,
2020-09-30,210.330002,,
2020-10-30,202.470001,,
2020-11-30,214.070007,,
2020-12-31,222.419998,,
2021-01-29,231.960007,,
2021-02-26,232.380005,,
2021-03-31,235.770004,,
2021-04-30,252.179993,,
2021-05-28,249.679993,,
2021-06-30,270.899994,2021,168088000000
2021-07-30,284.910004,,
2021-08-31,301.880005,,
2021-09-30,281.920013,,
2021-10-29,331.619995,,
2021-11-30,330.589996,,
2021-12-31,336.320007,,
2022-01-31,310.980011,,
2022-02-28,298.790009,,
2022-03-31,308.309998,,
2022-04-29,277.519989,,
2022-05-31,271.869995,,
2022-06-30,256.829987,2022,198270000000
2022-07-29,280.739990,,
2022-08-31,261.470001,,
2022-09-30,232.899994,,
2022-10-31,232.130005,,
2022-11-30,255.139999,,
2022-12-30,239.820007,,
2023-01-31,247.809998,,
2023-02-28,249.419998,,
2023-03-31,288.299988,,
2023-04-28,307.260010,,
2023-05-31,328.390015,,
2023-06-30,340.540009,2023,211915000000
2023-07-31,335.920013,,
2023-08-31,327.760010,,
2023-09-29,315.750000,,
2023-10-31,338.109985,,
2023-11-30,378.910004,,
2023-12-29,376.040009,,
2024-01-31,397.579987,,
2024-02-29,413.640015,,
2024-03-28,420.720001,,
2024-04-30,389.329987,,
2024-05-31,415.130005,,
2024-06-28,446.950012,,
2024-06-30,,2024,245122000000
2024-07-31,418.350006,,
2024-08-30,417.140015,,
2024-09-30,430.299988,,
2024-10-31,406.350006,,
2024-11-29,423.459991,,
2024-12-31,421.500000,,
2025-01-31,415.059998,,
2025-02-28,396.989990,,
2025-03-31,375.390015,,
2025-04-30,395.260010,,
2025-05-30,460.359985,,
2025-06-30,497.410004,2025,281724000000
2025-07-31,533.500000,,
2025-08-29,506.690002,,
2025-09-30,517.950012,,
2025-10-31,517.809998,,
2025-11-28,492.010010,,
2025-12-31,483.619995,,
