date,monthly_close,fiscal_year,annual_revenue
2014-01-26,,2014,4130000000
2014-01-31,0.392500,,
2014-02-28,0.459500,,
2014-03-31,0.447750,,
2014-04-30,0.461750,,
2014-05-30,0.475000,,
2014-06-30,0.463500,,
2014-07-31,0.437500,,
2014-08-29,0.486250,,
2014-09-30,0.461250,,
2014-10-31,0.488500,,
2014-11-28,0.524250,,
2014-12-31,0.501250,,
2015-01-25,,2015,4682000000
2015-01-30,0.480000,,
2015-02-27,0.551500,,
2015-03-31,0.523250,,
2015-04-30,0.555000,,
2015-05-29,0.553250,,
2015-06-30,0.502750,,
2015-07-31,0.498750,,
2015-08-31,0.562000,,
2015-09-30,0.616250,,
2015-10-30,0.709250,,
2015-11-30,0.793000,,
2015-12-31,0.824000,,
2016-01-29,0.732250,,
2016-01-31,,2016,5010000000
2016-02-29,0.784000,,
2016-03-31,0.890750,,
2016-04-29,0.888250,,
2016-05-31,1.168000,,
2016-06-30,1.175250,,
2016-07-29,1.427500,,
2016-08-31,1.533500,,
2016-09-30,1.713000,,
2016-10-31,1.779000,,
2016-11-30,2.305000,,
2016-12-30,2.668500,,
2017-01-29,,2017,6910000000
2017-01-31,2.729500,,
2017-02-28,2.537000,,
2017-03-31,2.723250,,
2017-04-28,2.607500,,
2017-05-31,3.608750,,
2017-06-30,3.614000,,
2017-07-31,4.062750,,
2017-08-31,4.236000,,
2017-09-29,4.469250,,
2017-10-31,5.170250,,
2017-11-30,5.017750,,
2017-12-29,4.837500,,
2018-01-28,,2018,9714000000
2018-01-31,6.145000,,
2018-02-28,6.050000,,
2018-03-29,5.789750,,
2018-04-30,5.622500,,
2018-05-31,6.304750,,
2018-06-29,5.922500,,
2018-07-31,6.121500,,
2018-08-31,7.017000,,
2018-09-28,7.025500,,
2018-10-31,5.270750,,
2018-11-30,4.085750,,
2018-12-31,3.337500,,
2019-01-27,,2019,11716000000
2019-01-31,3.593750,,
2019-02-28,3.856500,,
2019-03-29,4.489000,,
2019-04-30,4.525000,,
2019-05-31,3.386500,,
2019-06-28,4.105750,,
2019-07-31,4.218000,,
2019-08-30,4.187750,,
2019-09-30,4.351750,,
2019-10-31,5.025500,,
2019-11-29,5.418500,,
2019-12-31,5.882500,,
2020-01-26,,2020,10918000000
2020-01-31,5.910750,,
2020-02-28,6.751750,,
2020-03-31,6.590000,,
2020-04-30,7.307000,,
2020-05-29,8.875500,,
2020-06-30,9.497750,,
2020-07-31,10.614750,,
2020-08-31,13.374500,,
2020-09-30,13.530500,,
2020-10-30,12.534000,,
2020-11-30,13.401500,,
2020-12-31,13.055000,,
2021-01-29,12.989750,,
2021-01-31,,2021,16675000000
2021-02-26,13.714500,,
2021-03-31,13.348250,,
2021-04-30,15.009500,,
2021-05-28,16.244499,,
2021-06-30,20.002501,,
2021-07-30,19.499001,,
2021-08-31,22.385000,,
2021-09-30,20.716000,,
2021-10-29,25.566999,,
2021-11-30,32.675999,,
2021-12-31,29.410999,,
2022-01-30,,2022,26914000000
2022-01-31,24.486000,,
2022-02-28,24.385000,,
2022-03-31,27.285999,,
2022-04-29,18.547001,,
2022-05-31,18.672001,,
2022-06-30,15.159000,,
2022-07-29,18.163000,,
2022-08-31,15.094000,,
2022-09-30,12.139000,,
2022-10-31,13.497000,,
2022-11-30,16.923000,,
2022-12-30,14.614000,,
2023-01-29,,2023,26974000000
2023-01-31,19.537001,,
2023-02-28,23.216000,,
2023-03-31,27.777000,,
2023-04-28,27.749001,,
2023-05-31,37.834000,,
2023-06-30,42.301998,,
2023-07-31,46.729000,,
2023-08-31,49.355000,,
2023-09-29,43.499001,,
2023-10-31,40.779999,,
2023-11-30,46.770000,,
2023-12-29,49.521999,,
2024-01-28,,2024,60922000000
2024-01-31,61.527000,,
2024-02-29,79.112000,,
2024-03-28,90.356003,,
2024-04-30,86.402000,,
2024-05-31,109.633003,,
2024-06-28,123.540001,,
2024-07-31,117.019997,,
2024-08-30,119.370003,,
2024-09-30,121.440002,,
2024-10-31,132.759995,,
2024-11-29,138.250000,,
2024-12-31,134.289993,,
2025-01-26,,2025,130497000000
2025-01-31,120.070000,,
2025-02-28,124.919998,,
2025-03-31,108.379997,,
2025-04-30,108.919998,,
2025-05-30,135.130005,,
2025-06-30,157.990005,,
2025-07-31,177.869995,,
2025-08-29,174.179993,,
2025-09-30,186.580002,,
2025-10-31,202.490005,,
2025-11-28,177.000000,,
2025-12-31,186.500000,,
